Date,Close,Open,High,Low,Volume,Change_pct,Ty_gia_ngoai_te,EMA20,EMA50,SMA20,SMA50,BB_Middle,BB_Upper,BB_Lower,BB_Width,RSI,MACD,Signal
2001-01-17,232.68,232.68,232.68,232.68,90.0,1.9,"14,536.0",202.86042116836484,175.32657071213188,200.84650000000002,,200.84650000000002,238.01503693508442,163.67796306491562,0.37011884135480977,100.0,18.26703513501215,16.594189707851953
2001-01-19,236.97,236.97,236.97,236.97,40.0,1.84,"14,541.0",206.10895248566342,177.74396009596984,204.1015,,204.1015,241.98079542778294,166.22220457221704,0.3711809607257463,100.0,18.74788009185997,17.024927784653556
2001-01-29,241.36,241.36,241.36,241.36,10.0,1.85,"14,546.0",209.46619510607644,180.23870675887298,207.41949999999997,,207.41949999999997,246.18087767091566,168.65812232908428,0.3737486366606389,100.0,19.26115884617826,17.472173996958496
2001-01-31,245.8,245.8,245.8,245.8,10.0,1.84,"14,543.0",212.92655747692632,182.80973786636815,210.80300000000003,,210.80300000000003,250.59942253162694,171.0065774683731,0.37756979295007104,100.0,19.797987968835827,17.937336791333962
2001-02-02,250.23,250.23,250.23,250.23,30.0,1.8,"14,541.0",216.47926628864764,185.45366971474587,214.2515,174.824,214.2515,255.2051165230347,173.2978834769653,0.3822947939504246,100.0,20.346352803181958,18.41913999370356
2001-02-07,259.93,259.93,259.93,259.93,10.0,1.95,"14,548.0",220.61743140401452,188.37431011808917,217.75099999999998,177.6042,217.75099999999998,261.801784520166,173.70021547983396,0.40459777011509496,100.0,21.317905276778703,18.99889305031859
2001-02-09,260.15,260.15,260.15,260.15,320.0,0.08,"14,551.0",224.38243793696552,191.18904305463468,221.53450000000004,180.38440000000003,221.53450000000004,266.54130298284736,176.52769701715275,0.4063186815854623,100.0,21.853703878294368,19.569855215913748
2001-02-12,256.18,256.18,256.18,256.18,130.0,-1.53,"14,549.0",227.41077718106405,193.7377080328843,224.9625,183.0638,224.9625,269.53474100739203,180.39025899260795,0.3962637418004515,93.07034386454883,21.70774889226476,19.99743395118395
2001-02-14,252.21,252.21,252.21,252.21,80.0,-1.55,"14,552.0",229.77260792572463,196.03073909041825,228.01749999999998,185.6214,228.01749999999998,271.1733404292847,184.8616595707153,0.3785309498550304,86.19850512775947,21.029319784779915,20.203811117903143
2001-02-16,248.98,248.98,248.98,248.98,40.0,-1.28,"14,556.0",231.60188336136991,198.10718069471557,230.72400000000002,188.072,230.72400000000002,271.8639835734172,189.58401642658282,0.35661642112148884,80.40350877192984,20.000472822678944,20.163143458858304
2001-02-19,245.99,245.99,245.99,245.99,40.0,-1.2,"14,558.0",232.9721801840966,199.98493831453067,233.09449999999998,190.42039999999997,233.09449999999998,271.8292125565956,194.35978744340431,0.33235200793322583,74.79978643886815,18.727952008238788,19.8761051687344
2001-02-21,246.75,246.75,246.75,246.75,240.0,0.31,"14,561.0",234.28435349989692,201.81886230219615,235.31599999999997,192.7412,235.31599999999997,271.6405513030568,198.9914486969432,0.30872997418838327,73.24263038548756,17.578165592272967,19.416517253442116
