Date,Price,Open,High,Low,Vol.,Change %
2024-07-02,"1,269.79","1,254.56","1,270.47","1,254.56",528.47K,1.21%
2024-07-03,"1,276.85","1,269.79","1,278.14","1,268.23",589.51K,0.56%
2024-07-04,"1,279.89","1,276.85","1,283.13","1,274.58",523.46K,0.24%
2024-07-05,"1,283.04","1,279.89","1,284.98","1,276.93",616.50K,0.25%
2024-07-08,"1,283.56","1,283.04","1,287.14","1,277.68",766.90K,0.04%
2024-07-09,"1,293.71","1,283.56","1,294.15","1,283.56",821.81K,0.79%
2024-07-10,"1,285.94","1,293.71","1,297.96","1,285.94",751.00K,-0.60%
2024-07-11,"1,283.80","1,285.94","1,293.32","1,283.80",697.23K,-0.17%
2024-07-12,"1,280.75","1,283.80","1,288.67","1,277.16",606.31K,-0.24%
2024-07-15,"1,279.82","1,280.75","1,286.37","1,276.27",573.51K,-0.07%
2024-07-16,"1,281.18","1,279.82","1,291.47","1,279.37",684.26K,0.11%
2024-07-17,"1,268.66","1,281.18","1,290.76","1,256.42",1.23M,-0.98%
2024-07-18,"1,274.44","1,268.66","1,274.67","1,256.21",739.04K,0.46%
2024-07-19,"1,264.78","1,274.44","1,279.94","1,260.68",791.80K,-0.76%
2024-07-22,"1,254.64","1,264.78","1,267.43","1,245.02",923.63K,-0.80%
2024-07-23,"1,231.81","1,254.64","1,258.74","1,231.81",728.38K,-1.82%
2024-07-24,"1,238.47","1,231.81","1,242.40","1,218.65",740.26K,0.54%
2024-07-25,"1,233.19","1,238.47","1,238.47","1,226.20",484.41K,-0.43%
2024-07-26,"1,242.11","1,233.19","1,242.11","1,233.19",458.79K,0.72%
2024-07-29,"1,246.60","1,242.11","1,249.68","1,242.11",496.87K,0.36%
2024-07-30,"1,245.06","1,246.60","1,248.73","1,236.97",653.07K,-0.12%
2024-07-31,"1,251.51","1,245.06","1,255.77","1,245.06",748.85K,0.52%
2024-08-01,"1,226.96","1,251.51","1,257.85","1,222.51",897.26K,-1.96%
2024-08-02,"1,236.60","1,226.96","1,236.60","1,209.77",696.66K,0.79%
2024-08-05,"1,188.07","1,236.60","1,236.60","1,184.53",1.04M,-3.92%
2024-08-06,"1,210.28","1,188.07","1,213.35","1,186.74",688.84K,1.87%
2024-08-07,"1,215.88","1,210.28","1,217.79","1,205.11",623.85K,0.46%
2024-08-08,"1,208.32","1,215.88","1,219.97","1,202.58",758.83K,-0.62%
2024-08-09,"1,223.64","1,208.32","1,225.02","1,208.32",586.76K,1.27%
2024-08-12,"1,230.28","1,223.64","1,231.46","1,221.16",551.15K,0.54%
2024-08-13,"1,230.42","1,229.81","1,231.55","1,223.01",539.12K,0.01%
2024-08-14,"1,230.36","1,230.42","1,236.51","1,228.93",507.18K,0.00%
2024-08-15,"1,223.56","1,230.36","1,231.69","1,222.28",497.06K,-0.55%
2024-08-16,"1,252.23","1,223.56","1,253.24","1,223.56",965.06K,2.34%
2024-08-19,"1,261.62","1,252.23","1,263.84","1,252.23",698.63K,0.75%
2024-08-20,"1,272.55","1,261.62","1,275.95","1,261.62",810.16K,0.87%
2024-08-21,"1,284.05","1,272.55","1,284.05","1,268.91",836.42K,0.90%
2024-08-22,"1,282.78","1,284.05","1,288.42","1,280.42",687.37K,-0.10%
2024-08-23,"1,285.32","1,282.78","1,287.43","1,276.43",724.87K,0.20%
2024-08-26,"1,280.02","1,285.32","1,290.45","1,278.72",775.47K,-0.41%
2024-08-27,"1,280.56","1,280.02","1,282.92","1,274.70",660.80K,0.04%
2024-08-28,"1,281.44","1,280.56","1,285.72","1,276.90",717.62K,0.07%
2024-08-29,"1,281.47","1,281.44","1,288.20","1,280.24",634.09K,0.00%
2024-08-30,"1,283.87","1,281.47","1,286.84","1,281.47",571.60K,0.19%
2024-09-04,"1,275.80","1,283.87","1,283.87","1,268.43",648.41K,-0.63%
2024-09-05,"1,268.21","1,275.80","1,282.21","1,266.05",665.63K,-0.59%
2024-09-06,"1,273.96","1,268.21","1,274.44","1,262.94",637.09K,0.45%
2024-09-09,"1,267.73","1,273.96","1,273.96","1,262.97",497.55K,-0.49%
2024-09-10,"1,255.23","1,267.73","1,271.83","1,252.22",690.10K,-0.99%
2024-09-11,"1,253.27","1,255.23","1,256.86","1,244.79",583.75K,-0.16%
2024-09-12,"1,256.35","1,253.27","1,260.93","1,253.27",433.68K,0.25%
2024-09-13,"1,251.71","1,256.35","1,256.35","1,248.78",482.06K,-0.37%
2024-09-16,"1,239.26","1,251.71","1,255.42","1,239.26",608.01K,-0.99%
2024-09-17,"1,258.95","1,239.26","1,258.95","1,238.69",632.20K,1.59%
2024-09-18,"1,264.90","1,258.95","1,271.77","1,257.93",799.78K,0.47%
2024-09-19,"1,271.27","1,264.90","1,271.27","1,264.82",607.58K,0.50%
2024-09-20,"1,272.04","1,271.27","1,283.30","1,271.27",898.26K,0.06%
